genres,original_title,overview,ratings,votes,overview_new
Comedy  Romance,la boda de valentina,"Valentina has the perfect life in America. Her universe trembles when Jason, her boyfriend, proposes marriage and she must confront her family, the Hidalgo, the most chaotic and surreal political dynasty in the history of Mexico.",4.8,594,"valentina perfect life america. universe tremble jason, boyfriend, proposes marriage must confront family, hidalgo, chaotic surreal political dynasty history mexico."
Drama,the recce,"1981 - RECCE, Henk Viljoen, is wrongfully declared KIA behind enemy lines. Abandoned by his superiors; it's a race for survival in which his mental and physical abilities are pushed to their limits, as he navigates his way through the treacherous Angolan war zone in an effort to make his way home to his loved ones.",5.8,72,"1981 recce, henk viljoen, wrongfully declared kia behind enemy lines. abandoned superiors; race survival mental physical ability pushed limits, navigates way treacherous angolan war zone effort make way home loved ones."
Comedy,kasala!,"Taking place in a Nigerian slum, Tunji, a fast talking teenager, borrows his no-nonsense Uncle's car and gets his friends, Chikodi, Effiong and Abraham to join him on a Joyride around the ...                See full summary »",6.1,19,"taking place nigerian slum, tunji, fast talking teenager, borrows no-nonsense uncle's car get friends, chikodi, effiong abraham join joyride around ... see full summary »"
Comedy  Horror  Mystery,blood paradise,"After her latest novel flops, a best-selling crime writer is sent by her publisher to the Swedish countryside to regain inspiration. Totally out of place in her new surroundings, she discovers how dangerous life in East Europe can be.",4.0,171,"latest novel flops, best-selling crime writer sent publisher swedish countryside regain inspiration. totally place new surroundings, discovers dangerous life east europe be."
Drama  History,sgaawaay k'uuna,"When a man accidentally causes the death of the son of his best friend, the man is wracked by grief and runs off into the woods.",6.3,226,"man accidentally cause death son best friend, man wracked grief run woods."
Family,andy the talking hedgehog,"After a girl's wish for all animals to have the ability to speak comes true, local robbers try to capture her talking hedgehog.",4.4,85,"girl's wish animal ability speak come true, local robber try capture talking hedgehog."
Drama,the choir director,"Bishop T.K. Wilson has done all he can to make First Jamaica Ministries a success, but after his first choir director is caught in a scandal, attendance and cash flow are down. The Bishop is counting on a new choir director to revive the church. Little does he know, this decision may also put his job as the Bishop, as well as his family, in jeopardy.",5.8,17,"bishop t.k. wilson done make first jamaica ministry success, first choir director caught scandal, attendance cash flow down. bishop counting new choir director revive church. little know, decision may also put job bishop, well family, jeopardy."
Thriller,dead love,In a secluded mountain town a young man unwittingly falls in love with a mysterious funeral director who is guarding a dark secret.,3.5,115,secluded mountain town young man unwittingly fall love mysterious funeral director guarding dark secret.
Drama  History,nothing like the sun,"In the mid-20th century, a lesbian estranged by her family struggles to get them back by falsely adopting the faith of a Christian household where she takes shelter, but finds herself infatuated with their daughter.",5.7,15,"mid-20th century, lesbian estranged family struggle get back falsely adopting faith christian household take shelter, find infatuated daughter."
Drama,the good journey,"Based on the New Testament parables The Prodigal Son and The Good Samaritan, this is the story of two estranged brothers sent on a cross country journey by their father in the hope that ...                See full summary »",6.7,53,"based new testament parable prodigal son good samaritan, story two estranged brother sent cross country journey father hope ... see full summary »"
Drama  Thriller,lifeboat,A woman on a romantic sailing holiday with her boyfriend rescues a refugee woman who makes her confront her past.,6.1,39,woman romantic sailing holiday boyfriend rescue refugee woman make confront past.
Action  Adventure  Fantasy,alien showdown: the day the old west stood still,"An alien scout lands on earth in the year 1854. The creature is searching for water and food. Once it finds what it needs, it will call in an invasion fleet. A lone cowboy must stand against the alien invader or all will be lost.",2.0,354,"alien scout land earth year 1854. creature searching water food. find needs, call invasion fleet. lone cowboy must stand alien invader lost."
Animation  Adventure  Family,troll: the tale of a tail,"The troll prince Trym has only three days to save his father, King Grom, who has turned to stone and had his tail stolen by the evil presence in the forest. Trym and his companions must go ...                See full summary »",4.9,100,"troll prince trym three day save father, king grom, turned stone tail stolen evil presence forest. trym companion must go ... see full summary »"
Crime  Drama  Mystery,turned out,"The widow of an Indian undercover cop killed in a sex trafficking confrontation, sets out on a quest for revenge by moving to New York and fighting back the best way she can - by becoming a high-end escort.",7.2,889,"widow indian undercover cop killed sex trafficking confrontation, set quest revenge moving new york fighting back best way becoming high-end escort."
Action  Drama,the witness,An action drama about an enthusiastic junior officer from the Hague War Tribunal in pursuit of justice.,7.1,30,action drama enthusiastic junior officer hague war tribunal pursuit justice.
Western,the divide,A migrant ranch hand contacts an aging rancher's estranged daughter when it becomes apparent that the rancher is suffering from the onset of dementia.,5.9,73,migrant ranch hand contact aging rancher's estranged daughter becomes apparent rancher suffering onset dementia.
Action,panchaali,"In a small Haryanvi village, five brothers trade in death and fear. When they kill one of their debtors and abduct his daughter Panchaali, she lures each of the five brothers to herself, laying out their death-trap.",6.1,12,"small haryanvi village, five brother trade death fear. kill one debtor abduct daughter panchaali, lure five brother herself, laying death-trap."
Crime  Drama,robbery,"When his criminal father is diagnosed with dementia, a young thief plans a series of reckless heists in order to battle the disease and pay off a dangerous gambling debt.",4.4,179,"criminal father diagnosed dementia, young thief plan series reckless heist order battle disease pay dangerous gambling debt."
Horror  Thriller,altered skin,"While caring for his ailing wife, an American engineer in Pakistan stumbles upon a deadly pharmaceutical conspiracy.",3.1,112,"caring ailing wife, american engineer pakistan stumble upon deadly pharmaceutical conspiracy."
Comedy,electric love,Four couples traverse the modern dating scene in Los Angeles utilizing popular dating apps.,5.4,251,four couple traverse modern dating scene los angeles utilizing popular dating apps.
Thriller,hacker's game redux,"Loise and Soyan embark upon an intense but dangerous romance. After being in a virtual world, will Soyan and Loise risk everything for true love?",4.3,19,"loise soyan embark upon intense dangerous romance. virtual world, soyan loise risk everything true love?"
Action  Comedy,loss prevention,"When an old-school bar owner and his unruly daughter get caught up in a cat-and-mouse game of corporate espionage, it will take brains, brawn and help from the lesser of two evils to make it out alive.",4.8,82,"old-school bar owner unruly daughter get caught cat-and-mouse game corporate espionage, take brains, brawn help lesser two evil make alive."
Comedy  Drama,unwholly moments,A dissatisfied man attempting to be an actor struggles to connect with his profession and the people around him.,6.0,28,dissatisfied man attempting actor struggle connect profession people around him.
Comedy,cheerleader chainsaw chicks,Three cheerleaders attending a cheer camp become involved in a government facility theft and kidnapping. They seek out the help of the southern-charmed camp manager to rescue their friend. ...                See full summary »,2.1,38,three cheerleader attending cheer camp become involved government facility theft kidnapping. seek help southern-charmed camp manager rescue friend. ... see full summary »
Adventure  Comedy  Family,mission possible,"A group of kids, a Shih tzu dog, a wood, a vet, a police officer with his team and the typical gang of bad guys will be the main characters of a funny action movie. ...Without forgetting that there will be almost 30 Shih tzu dogs!!.",5.8,69,"group kids, shih tzu dog, wood, vet, police officer team typical gang bad guy main character funny action movie. ...without forgetting almost 30 shih tzu dogs!!."
Comedy  Drama,virginia minnesota,"Two young women, torn apart by a childhood tragedy, unexpectedly reunite and embark on an illuminating 24-hour journey, where they unlock memories of long-forgotten innocence and what it means to truly believe.",5.6,143,"two young women, torn apart childhood tragedy, unexpectedly reunite embark illuminating 24-hour journey, unlock memory long-forgotten innocence mean truly believe."
Comedy,captain hagen's bed & breakfast,Four couples spend the weekend at a Bed and Breakfast in the Hamptons run by an eccentric German sea captain and his strange family.,4.4,191,four couple spend weekend bed breakfast hampton run eccentric german sea captain strange family.
Action  Drama  Thriller,blackmark,"In 1963, military industrialist Arthur Blackmark and a Soviet commander must race against the clock to stop an international nuclear incident which threatens to fire up the Cold War and end the world.",4.5,234,"1963, military industrialist arthur blackmark soviet commander must race clock stop international nuclear incident threatens fire cold war end world."
Fantasy  Horror  Mystery,the campus,"Robert Wainwright dies after breaking his deal with the Devil, passing that debt onto his estranged daughter Morgan. She soon finds herself in a never-ending cycle of terror as she is ...                See full summary »",4.3,786,"robert wainwright dy breaking deal devil, passing debt onto estranged daughter morgan. soon find never-ending cycle terror ... see full summary »"
Drama  Romance,love me anyway,"Love Me Anyway is a sun soaked drama about a filmmaker in love with a surfer, and a young wife exploring the greener grass of an extramarital affair with another woman.",4.4,81,"love anyway sun soaked drama filmmaker love surfer, young wife exploring greener grass extramarital affair another woman."
Horror,bride of scarecrow,A failing radio host finds out she has inherited a farm house in Wales from a family she never knew she had. But what goes on the land is story in which people have gone missing every 20 years.,2.7,147,failing radio host find inherited farm house wale family never knew had. go land story people gone missing every 20 years.
Family,holiday spectacular,"Set at the mall, Holiday Spectacular will tell the story of an estranged family that is brought back together for the holiday season. Cassie, a wronged for shoplifting is doing community ...                See full summary »",6.2,43,"set mall, holiday spectacular tell story estranged family brought back together holiday season. cassie, wronged shoplifting community ... see full summary »"
Crime  Drama,foster sin,The movie Foster Sin will bring some awareness to the mistreatment of the children in the foster care system.,9.3,13,movie foster sin bring awareness mistreatment child foster care system.
Drama,love & drugs,"There was a time in Mark's life where he thought he had it all. He had money, power but he had never experienced true love. That was until the day that Tonya came back into his life. Will ...                See full summary »",6.6,23,"time mark's life thought all. money, power never experienced true love. day tonya came back life. ... see full summary »"
Horror  Thriller,hell trip,A group of young US tourists' vacation in Africa turns into the ultimate nightmare when they arrive at an abandoned lodge isolated in a remote African rural area that holds an ominous and deadly secret.,4.7,71,group young u tourists' vacation africa turn ultimate nightmare arrive abandoned lodge isolated remote african rural area hold ominous deadly secret.
Horror  Mystery,curse of the witch's doll,"After a series of inexplicable events, Adeline Gray believes a haunted doll possesses the soul of a vengeful Witch. To have any hope of being reunited with her missing daughter, she knows she must defeat the evil curse of The Witch's Doll.",3.2,371,"series inexplicable events, adeline gray belief haunted doll posse soul vengeful witch. hope reunited missing daughter, know must defeat evil curse witch's doll."
Mystery  Thriller,caretakers,"A young medical student finds himself entrenched in a web of intrigue when he's sent to care for the former US Ambassador to Syria. Christopher Cousins, Vivica A. Fox and Missi Pyle co-star in Loomis' thrilling drama.",5.7,838,"young medical student find entrenched web intrigue he's sent care former u ambassador syria. christopher cousins, vivica a. fox missi pyle co-star loomis' thrilling drama."
Romance,a stone cold christmas,"A holiday encounter with a forsaken boyfriend forces money-grubbing Mia Stone to re-examine her past, present and future.",6.9,99,"holiday encounter forsaken boyfriend force money-grubbing mia stone re-examine past, present future."
Horror  Thriller,college pranks,"College students are invited to play a game sponsored by a website. When students start the game in the mountains of Colorado, they discover that the stakes they are playing for are not just a cash prize.",4.0,91,"college student invited play game sponsored website. student start game mountain colorado, discover stake playing cash prize."
Comedy  Drama,fourplay,"A story of friendship, love, marriage, secrets, and lies that unfolds between two couples in one apartment during a Sunday brunch that will affect their lives forever.",4.6,141,"story friendship, love, marriage, secrets, lie unfolds two couple one apartment sunday brunch affect life forever."
Comedy  Horror,camp death iii in 2d!,'Camp Death III in 2D' is a very stupid comedy/horror parody of the 'Friday the 13th' series and is proudly presented in two dimensions.,3.8,189,'camp death iii 2d' stupid comedy/horror parody 'friday 13th' series proudly presented two dimensions.
Drama,rabbit,After finding out his brother is missing a man returns to the small town he left many years ago. During his quest to find his brother he learns hard fought secrets that could destroy his life.,7.3,17,finding brother missing man return small town left many year ago. quest find brother learns hard fought secret could destroy life.
Drama,only humans,"Through her attempt to ignite a romance with a much older man, Sarah, a fiercely independent teenager, learns to appreciate not only her youth but also her overbearing mother.",5.8,91,"attempt ignite romance much older man, sarah, fiercely independent teenager, learns appreciate youth also overbearing mother."
Horror  Mystery  Thriller,surprise,"An anthology horror involving a social gathering of writers on Halloween, where they each tell stories in hopes of winning a local competition.",4.8,40,"anthology horror involving social gathering writer halloween, tell story hope winning local competition."
Drama,no alternative,This coming-of-age drama blasts open the world of grunge-era teenagers in the early 90s.,6.1,194,coming-of-age drama blast open world grunge-era teenager early 90s.
Drama,rerun,"On Christmas Day, with the help of his grandson, George still haunted with regret from the loss of Violet, the 'wayward girl' he loved decades ago, gets to go back through time and relive and possibly change his unresolved past.",5.8,23,"christmas day, help grandson, george still haunted regret loss violet, 'wayward girl' loved decade ago, get go back time relive possibly change unresolved past."
Action,ride,"Kyle and Max are two extreme sports athletes, two riders in continuous challenge and search for money. When they find out of the enigmatic proposal for a mysterious contest by an unknown ...                See full summary »",4.5,344,"kyle max two extreme sport athletes, two rider continuous challenge search money. find enigmatic proposal mysterious contest unknown ... see full summary »"
Crime  Drama,dead women walking,A group of women on death row face their final moments.,7.4,88,group woman death row face final moments.
Musical,the toxic avenger: the musical,"A musical adaptation of the 1984 movie by the same name. ""A movie that most people only watched while stoned."" A dystopian future of global warming and ecological disaster. While trying to ...                See full summary »",6.8,102,"musical adaptation 1984 movie name. ""a movie people watched stoned."" dystopian future global warming ecological disaster. trying ... see full summary »"
Drama  Romance,defeated,"Inspired by true events, DEFEATED is an amazing romance/drama. The film takes you on a journey that follows the life of a model (Stephanie). She struggles to find true love & contentment ...                See full summary »",7.4,10,"inspired true events, defeated amazing romance/drama. film take journey follows life model (stephanie). struggle find true love contentment ... see full summary »"
Animation  Adventure  Comedy,smeshariki. dezha vyu,"Krash wants to throw his best buddy Barry an unforgettable birthday party. He hires the DejaVu Agency, which organizes exciting time travel adventures. But the Kikoriki crew fail to follow the rules and the group is scattered across time.",5.6,195,"krash want throw best buddy barry unforgettable birthday party. hire dejavu agency, organizes exciting time travel adventures. kikoriki crew fail follow rule group scattered across time."
Action,the conversation,"An ex-undercover operative finds himself on the run from his former friend and handler, various government agencies, and a deadly emissary from one of Europe's oldest organized crime ...                See full summary »",7.3,7,"ex-undercover operative find run former friend handler, various government agencies, deadly emissary one europe's oldest organized crime ... see full summary »"
Drama,supa modo,"Story of a young girl whose dream of becoming a superhero is threatened by terminal illness, inspiring her village to rally together to make her dream come true.",7.3,362,"story young girl whose dream becoming superhero threatened terminal illness, inspiring village rally together make dream come true."
Comedy,the primrose,"After ending things with his fiancé, Steve, a recent college graduate, finds outs he is a legacy to a secret party society and moves into a house with seven other post graduate delinquents.",7.6,12,"ending thing fiancé, steve, recent college graduate, find out legacy secret party society move house seven post graduate delinquents."
Comedy,book week,A jaded high school English teacher is forced to re-evaluate his life when his novel is passed over for one of his students.,5.9,93,jaded high school english teacher forced re-evaluate life novel passed one students.
Action  Fantasy  Sci-Fi,gathering of heroes: legend of the seven swords,"In the mystical realm of Ryntia, the forces of the underworld are aligning to unleash a plague of evil upon the surface. The deadly bat-like Blood Reavers, the Saurian Maurauders, the ...                See full summary »",4.2,64,"mystical realm ryntia, force underworld aligning unleash plague evil upon surface. deadly bat-like blood reavers, saurian maurauders, ... see full summary »"
Drama  Mystery  Thriller,burning kiss,"A hallucinogenic summer noir cocktail spiked with suspense is concocted as the unexpected arrival of a stranger ignites an inferno of secrets and guilt, complicating the relationship between a father and his daughter.",3.9,141,"hallucinogenic summer noir cocktail spiked suspense concocted unexpected arrival stranger ignites inferno secret guilt, complicating relationship father daughter."
Action  Comedy  Crime,reborn,Geng Han is a geek who encounters a pair of criminals in a video game and ends up going undercover for the police in this Chinese actioner.,4.7,694,geng han geek encounter pair criminal video game end going undercover police chinese actioner.
Drama,edge of the world,A cross country coach leads a team of troubled kids as he battles his own crisis of faith.,5.8,13,cross country coach lead team troubled kid battle crisis faith.
Drama  Romance  Thriller,lottery,"Amir Ali and Nooshin are two youngsters who are in love and want to get marry with each other while their families are in disagree with them. They both have only one dream, to win in the Lottery and get the green card and go living in USA.",5.8,2154,"amir ali nooshin two youngster love want get marry family disagree them. one dream, win lottery get green card go living usa."
Horror  Thriller  Western,the hatred,An orphaned young girl conjures an executed soldier back from the dead and together they deliver hell in the Blackfoot territory of the late 1800's.,4.7,120,orphaned young girl conjures executed soldier back dead together deliver hell blackfoot territory late 1800's.
Comedy,baby mamas,"'Baby Mamas' is a comedy drama revolving around the daily lives and loves of four professional women who are all in different stages of their own real-life baby mama drama. We meet TOLI, ...                See full summary »",6.6,55,"'baby mamas' comedy drama revolving around daily life love four professional woman different stage real-life baby mama drama. meet toli, ... see full summary »"
Drama,high resolution,"High Resolution, an adaptation of Tao Lin's novel Taipei, tracks Paul and Erin as they confront what it means to be young and in love in the early days of the 21st century.",4.2,201,"high resolution, adaptation tao lin's novel taipei, track paul erin confront mean young love early day 21st century."
Thriller,welcome to curiosity,Four interconnected stories surrounding the escape from prison of a notorious serial killer.,5.1,917,four interconnected story surrounding escape prison notorious serial killer.
Comedy,ander mens,Daniel Niemand is the kind of sad-sack that even flies wouldn't want to buzz around. But all that changes after his wife leaves him for his marriage counsellor.,4.9,87,daniel niemand kind sad-sack even fly want buzz around. change wife leaf marriage counsellor.
Horror,wretch,"In an attempt to piece together fractured memories of a drug-fueled night in the woods, three friends confront guilt, jealousy, and a supernatural presence that threatens to expose their true natures.",3.7,255,"attempt piece together fractured memory drug-fueled night woods, three friend confront guilt, jealousy, supernatural presence threatens expose true natures."
War,the burying party,"Wilfred Owen returns to the Somme against the advice of his mentor Siegfried Sassoon, determined to follow his subject 'The Pity of War' to the very end.",7.9,94,"wilfred owen return somme advice mentor siegfried sassoon, determined follow subject 'the pity war' end."
Drama  War,jirga,"Former Australian soldier, Mike Wheeler, returns to Afghanistan, seeking redemption from the family of a civilian man he killed during the war.",6.1,325,"former australian soldier, mike wheeler, return afghanistan, seeking redemption family civilian man killed war."
Action  Romance,penance,An exploration of political violence.,6.0,181,exploration political violence.
Drama  Romance,the wedding,"Rami, a young Muslim man, is preparing for his wedding with Sara while fulfilling a queer sexuality in secret due to a strict religious and cultural upbringing.",6.0,64,"rami, young muslim man, preparing wedding sara fulfilling queer sexuality secret due strict religious cultural upbringing."
Family,the prayer box,"With his sister suffering from a serious illness, a young boy takes it upon himself to get God's attention in hopes that God will heal his sister.",4.0,102,"sister suffering serious illness, young boy take upon get god's attention hope god heal sister."
Drama  Family  History,in the life of music,"In the Life of Music, a story told in three chapters, tells of how one song 'Champa Battambang,' made famous by Sinn Sisamuth (the King of Khmer Music), plays a role in the lives of three different generations.",6.7,75,"life music, story told three chapters, tell one song 'champa battambang,' made famous sinn sisamuth (the king khmer music), play role life three different generations."
Drama  Horror,la voce del lupo,"A series of mutilated corpses is upsetting a town in central Italy. Police believe that this is a wolf, but it might not be a wolf as others.",4.9,49,"series mutilated corps upsetting town central italy. police believe wolf, might wolf others."
Drama,honor amongst men,"A day in the life of John Halmo, a veteran police officer who is trying to juggle his turbulent home life, the daily stresses of his job, and the apparent inevitable biker war that's about to engulf his hometown.",7.1,16,"day life john halmo, veteran police officer trying juggle turbulent home life, daily stress job, apparent inevitable biker war that's engulf hometown."
Thriller,twin betrayal,When Jessica asks her twin sister Alessandra for help with a blackmailer she gets more than she bargained for.,5.3,195,jessica asks twin sister alessandra help blackmailer get bargained for.
Horror,sick for toys,Roy accepts an invitation to Christmas dinner with Emilia. He soon realizes that the evening is not what it seems and ends up fighting for his life.,4.1,571,roy accepts invitation christmas dinner emilia. soon realizes evening seems end fighting life.
Drama,roobha,"Roobha, a young transwoman grapples with the issue of gender identity, and her chance encounter with a married man leads to a rapturous romance.",7.6,47,"roobha, young transwoman grapple issue gender identity, chance encounter married man lead rapturous romance."
Drama,a dark place,"Alex, is a twenty-something struggling to put his life back together after past, reckless mistakes render his job search hopeless. While pressure at home mounts from his pregnant girlfriend...                See full summary »",4.3,109,"alex, twenty-something struggling put life back together past, reckless mistake render job search hopeless. pressure home mount pregnant girlfriend... see full summary »"
Drama  Thriller,falls around her,A successful singer leaves everything behind to return to her reservation to live alone.,6.2,89,successful singer leaf everything behind return reservation live alone.
Action,"blood, sand and gold","When an archaeologist discovers Sir Francis Drake's lost treasure in the Sahara Desert, it is promptly stolen and she sets off on a global quest to steal it back.",3.8,413,"archaeologist discovers sir francis drake's lost treasure sahara desert, promptly stolen set global quest steal back."
Horror,paranormal demons,An international group of film students finds a disturbing video clip on the dark web which seems to contain poltergeist phenomena. Agreed that it's just what they need for their latest ...                See full summary »,4.4,292,international group film student find disturbing video clip dark web seems contain poltergeist phenomena. agreed need latest ... see full summary »
Drama  Romance,elephants,"When a fiery young couple attempts to rekindle their relationship after three years apart, the highs and lows of their passion leave the pair wondering if nostalgia is enough to keep them together.",5.9,282,"fiery young couple attempt rekindle relationship three year apart, high low passion leave pair wondering nostalgia enough keep together."
Action,trained to kill,The SAS are a elite British army unit which as well as its Anti terrorist role also performs covert and overt training of friendly countries armed forces and operates enemy lines.,8.3,15,sa elite british army unit well anti terrorist role also performs covert overt training friendly country armed force operates enemy lines.
Sci-Fi,oxalis,A father's perverse strategy for identifying his son's killer involves a nightmarish scientific experiment whose consequences are felt for generations to come.,3.6,109,father's perverse strategy identifying son's killer involves nightmarish scientific experiment whose consequence felt generation come.
Drama,finding alice,Young woman kidnaps old man from nursing home. A roadtrip fueled by hate can only end in disaster.,7.6,22,young woman kidnaps old man nursing home. roadtrip fueled hate end disaster.
Drama,thicker than water,"A sister struggles to keep her brothers together when the eldest, a recovering drug addict, returns from rehab.",5.9,27,"sister struggle keep brother together eldest, recovering drug addict, return rehab."
Comedy  Drama,the dark knight: the ballad of the n word,The Dark Knight with a twist. It's based on The Joker memes from the internet.,9.4,81,dark knight twist. based joker meme internet.
Drama,waterlily jaguar,"Bob, a famous novelist, seeks to write a more serious book, only to find himself tumbling down a spiral of obsession that may leave his most important relationships in shambles, including his marriage.",5.6,39,"bob, famous novelist, seek write serious book, find tumbling spiral obsession may leave important relationship shambles, including marriage."
Animation,valley of the lanterns,An old woman's hold on the past puts her family's future in jeopardy.,5.2,56,old woman's hold past put family's future jeopardy.
Drama,cobain,"Cobain (15) tries to get his pregnant mother Mia to quit her self-destructive lifestyle. When she refuses to clean up her act, Cobain takes over.",6.3,257,"cobain (15) try get pregnant mother mia quit self-destructive lifestyle. refuse clean act, cobain take over."
Crime  Drama  Mystery,call for dreams,"In a rain swept Tokyo, Eko complicates her life by publishing a 'Call For Dreams' ad in a newspaper. As strangers leave descriptions of dreams on her answering machine, a parallel police investigation of a murder in Tel Aviv unfolds.",6.1,243,"rain swept tokyo, eko complicates life publishing 'call dreams' ad newspaper. stranger leave description dream answering machine, parallel police investigation murder tel aviv unfolds."
Horror  Sci-Fi  Thriller,patient 001,"A desperate wife agrees to have a baby cloned from her comatose husband's DNA. However, the husband gets better and they get rid of the baby - until the past comes calling decades later in a mix of mystery, lust and violence.",3.9,143,"desperate wife agrees baby cloned comatose husband's dna. however, husband get better get rid baby past come calling decade later mix mystery, lust violence."
Horror,the tempter,"A desperate man makes a deal with the devil in hopes of making all his earthly dreams come true. But when he is called upon to live up to his end of the Faustian bargain, he soon learns ...                See full summary »",2.8,106,"desperate man make deal devil hope making earthly dream come true. called upon live end faustian bargain, soon learns ... see full summary »"
Action,good cop bad cop,Ozone and Sherm prowls the streets of Los Angeles in search of a serial killer and drug lord who robs and slays victims before he cuts their eyes out. They must find him before he finds ...                See full summary »,2.5,12,ozone sherm prowl street los angeles search serial killer drug lord robs slays victim cut eye out. must find find ... see full summary »
Drama,land,"A Native American family struggles with violence and alcohol, when news reaches the Reservation that one of them has died during military service in Afghanistan.",6.8,128,"native american family struggle violence alcohol, news reach reservation one died military service afghanistan."
Comedy  Drama,broken promises 4-ever,"Amsugi's grandson, Mandoza, is desperate to get married, but he is rejected by Skye, his girlfriend, as she feels that he needs to ask her father, Kallan, for permission, and she is also concerned that she has not yet met Mandoza's family.",6.5,8,"amsugi's grandson, mandoza, desperate get married, rejected skye, girlfriend, feel need ask father, kallan, permission, also concerned yet met mandoza's family."
Comedy,moms at war,"""Moms at War"" is about two mothers who live in the same neighborhood, but hate each other. One felt that the other was a village girl who just got into money and is not fit to be in society...                See full summary »",6.1,42,"""moms war"" two mother live neighborhood, hate other. one felt village girl got money fit society... see full summary »"
Drama,golden boy,"GOLDEN BOY is the story of James, a young man who gambles on the dangers of being seen versus the quiet life of desperation and invisibility. Saved from doomed nonexistence by CQ, a wealthy...                See full summary »",6.3,26,"golden boy story james, young man gamble danger seen versus quiet life desperation invisibility. saved doomed nonexistence cq, wealthy... see full summary »"
Drama,district,A young adult learns that some boys in the hood are simply just goods to wealthy men in the area. It's a tale that truly questions how much you value your self-worth.,4.9,59,young adult learns boy hood simply good wealthy men area. tale truly question much value self-worth.
Comedy  Drama,avalanche,"A librarian, his wife, and her lover become trapped in a house together and are forced to navigate the chaotic fallout of their indiscretions.",3.7,119,"librarian, wife, lover become trapped house together forced navigate chaotic fallout indiscretions."
Comedy  Drama,white rabbit,A dramatic comedy following a Korean-American performance artist who struggles to be authentically heard and seen through her multiple identities in modern Los Angeles.,5.8,310,dramatic comedy following korean-american performance artist struggle authentically heard seen multiple identity modern los angeles.
Musical,emma,"EMMA, a timeless love story from one of the most widely read writers of all time, is a musical that will entice modern audiences to fall in love again with one of Jane Austen's most adored ...                See full summary »",8.0,27,"emma, timeless love story one widely read writer time, musical entice modern audience fall love one jane austen's adored ... see full summary »"
Drama,una storia senza nome,"Valeria is a ghostwriter for a screenwriter lacking inspiration. When she gets a plot of a new film by a mysterious character, an exciting intrigue starts.",5.8,513,"valeria ghostwriter screenwriter lacking inspiration. get plot new film mysterious character, exciting intrigue starts."
Comedy,holly star,"A broke puppeteer returns home for the holidays and gets caught up in a treasure hunt with her paintball-obsessed best friend, her tango-dancing grandmother, and a childhood sweetheart.",5.2,445,"broke puppeteer return home holiday get caught treasure hunt paintball-obsessed best friend, tango-dancing grandmother, childhood sweetheart."
Drama,viaje al cuarto de una madre,"A daughter leaves home for the first time. Her mother, left behind, doesn't know how to fill the empty nest.",6.7,770,"daughter leaf home first time. mother, left behind, know fill empty nest."
Comedy,all between us,"As a newly engaged couple gathers family and friends together to make an announcement, what begins as a celebration turns into disaster as secrets surface. One night, one mistake, one dinner unravels the lives of four people forever.",3.3,62,"newly engaged couple gather family friend together make announcement, begin celebration turn disaster secret surface. one night, one mistake, one dinner unravels life four people forever."
Comedy,camp manna,"Ian Fletcher, a ""nonbeliever"", is shipped off to a backwoods Christian camp, where he is forced to compete in (and survive) a Biblically-themed Olympiad known as the God Games.",7.2,82,"ian fletcher, ""nonbeliever"", shipped backwoods christian camp, forced compete (and survive) biblically-themed olympiad known god games."
Action  Horror  Thriller,lyco,Lyco is a action horror film about a voodoo priest named Lyco Fontaine (Macquell James) who is in search for an ancient Relic that has been around for centuries called the Port of Spain ...                See full summary »,3.1,38,lyco action horror film voodoo priest named lyco fontaine (macquell james) search ancient relic around century called port spain ... see full summary »
Drama,the middle of x,"A group of aging Gen-Xers, lost in the maze of midlife, come together for a high school reunion. As they journey down memory lane together they discover that they are exactly where they are supposed to be.",3.7,127,"group aging gen-xers, lost maze midlife, come together high school reunion. journey memory lane together discover exactly supposed be."
Horror,the 16th episode,"Three You tubers struggling to get more views on their adventure channel, travel to the mythical city of Casablanca, unaware that it hides a terrifying secret.",4.9,1947,"three tuber struggling get view adventure channel, travel mythical city casablanca, unaware hide terrifying secret."
Horror,blood clots,"Featuring cannibals, zombies and other funny creatures, Blood Clots consists of seven carefully curated, bloody horror stories by seven different filmmakers.",4.9,190,"featuring cannibals, zombie funny creatures, blood clot consists seven carefully curated, bloody horror story seven different filmmakers."
Drama  Fantasy  Horror,krampus: origins,"The first World War rages on when a group of American soldiers find a mysterious artifact that can summon the ancient evil of the Krampus. After the men are killed in action, the artifact ...                See full summary »",2.5,268,"first world war rage group american soldier find mysterious artifact summon ancient evil krampus. men killed action, artifact ... see full summary »"
Horror,abduction 2: revenge of the hive queen,The Hive Queen returns with a new plan for creating cross-bred human/aliens.,6.2,10,hive queen return new plan creating cross-bred human/aliens.
Comedy  Horror,why hide?,A diverse group of friends gather for the festive season in a remote lodge but soon plans go awry. One of the friends goes missing and the truth behind why the lodge was booked for the ...                See full summary »,3.7,382,diverse group friend gather festive season remote lodge soon plan go awry. one friend go missing truth behind lodge booked ... see full summary »
Action  Adventure  Sci-Fi,hornet,"When an alien race invades and begins to brainwash humans to carry out acts of destruction, the rest of humanity must rely on an untested giant robot to save the Earth.",1.8,208,"alien race invades begin brainwash human carry act destruction, rest humanity must rely untested giant robot save earth."
